"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE DESCRIPTION","INSPECTION DATE","ACTION","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG","SCORE","GRADE","GRADE DATE","RECORD DATE","INSPECTION TYPE","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA","Location"
"50093747","SINIGUAL","Manhattan","640","3 AVENUE","10017","2122860250","Mexican","12/16/2024","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","19","Z","12/16/2024","04/20/2026","Cycle Inspection / Re-inspection","40.75019673707","-73.97486923083","106","04","008000","1036153","1012967502","MN20","POINT (-73.974869230827 40.750196737067)"
"50105474","YOGI BY BARNJOO","Manhattan","816","6 AVENUE","10001","9178870079","Korean","02/03/2026","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","39",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.74616428899","-73.99040736393","105","03","007600","1015709","1008300001","MN17","POINT (-73.99040736393 40.746164288994)"
"50005269","NO. 1 CHINESE RESTAURANT","Brooklyn","661","NOSTRAND AVENUE","11216","7186048300","Chinese","02/26/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","19",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.67462785656","-73.9500407753","308","36","031701","3030990","3012270001","BK61","POINT (-73.950040775304 40.674627856562)"
"50111296","BIG WONG","Manhattan","67","MOTT STREET","10013","2129640540","Chinese","06/06/2025","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","20","B","06/06/2025","04/20/2026","Cycle Inspection / Re-inspection","40.7161177319","-73.9981999401","103","01","002900","1002397","1002000026","MN27","POINT (-73.998199940104 40.7161177319)"
"50184364","MUNCHIES NYC CORP","Brooklyn","3402","CHURCH AVENUE","11203","9178139537",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.65100150064","-73.94555018074","317","45","085600","3109421","3048880001","BK91","POINT (-73.945550180736 40.651001500638)"
"50184541","WALLACE","Brooklyn","663","VANDERBILT AVENUE","11238","9785052617",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.67711309801","-73.96904561009","308","35","020500","3028780","3011590005","BK64","POINT (-73.969045610094 40.677113098012)"
"50173513","228 ASIAN BISTRO","Brooklyn","228","DUFFIELD STREET","11201","3473921179",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.69129846568","-73.98439329031","302","33","001500","3424452","3001450032","BK38","POINT (-73.984393290305 40.691298465676)"
"41416889","CHINA WOK","Bronx","47","EAST KINGSBRIDGE ROAD","10468","7182957256","Chinese","03/31/2025","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","30",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.86696344726","-73.89615418319","207","14","040304","2017473","2033160008","BX28","POINT (-73.896154183192 40.86696344726)"
"50183126","MAMAN","Brooklyn","66","WATER STREET","11201","7184507160",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.70325818524","-73.99150276575","302","33","002100","3335868","3000360016","BK38","POINT (-73.991502765749 40.703258185238)"
"50180694","BEANS AND VINES EXPRESS","Manhattan","3908","BROADWAY","10032","3477499915",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.83807992227","-73.94192344917","112","07","024500","1062924","1021220058","MN36","POINT (-73.941923449169 40.83807992227)"
"50184730","Hive Mind Books LLC","Manhattan","208","WEST   13 STREET","10011","6318278204",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.73807587202","-74.00072170557","102","03","007700","1067571","1006170047","MN23","POINT (-74.000721705573 40.738075872021)"
"50148497","SUGARCANE BK","Brooklyn","238","FLATBUSH AVENUE","11217","7182303954","Caribbean","10/28/2025","Establishment re-opened by DOHMH.",,,"Not Applicable","0","Z","10/28/2025","04/20/2026","Cycle Inspection / Reopening Inspection","40.68043843927","-73.97483793391","306","39","012902","3018609","3009330041","BK37","POINT (-73.974837933912 40.680438439273)"
"50179936","3750 KITCHEN LLC","Manhattan","3750","BROADWAY","10032","3473999576",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.83327011993","-73.94544019141","112","07","024100","1062678","1021140005","MN36","POINT (-73.94544019141 40.833270119933)"
"50056951","NEUBERGER BERMAN CAFE","Manhattan","1290","AVE AMERICAS",,"3472666551","American","03/28/2022","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","7","A","03/28/2022","04/20/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50184602","YAU LAU","Manhattan","101","EAST BROADWAY","10002","9298059456",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.71377901026","-73.99334830955","103","01","000800","1003537","1002820027","MN27","POINT (-73.993348309547 40.713779010263)"
"50084942","UMAN PIZZA","Brooklyn","1919","AVENUE M","11230","3476276010","Jewish/Kosher","05/01/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","17","B","05/01/2025","04/20/2026","Cycle Inspection / Re-inspection","40.61846381042","-73.95590746775","314","44","053800","3180754","3067390180","BK43","POINT (-73.955907467752 40.61846381042)"
"40576403","MAYA","Manhattan","1191","1 AVENUE","10065","2125851818","Mexican","11/19/2025","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","22",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.76305153293","-73.95947902557","108","05","011800","1044696","1014390030","MN31","POINT (-73.959479025574 40.763051532927)"
"50160504","STARBUCK #1954","Manhattan","0","JFK INTERNATIONAL AIRPORT",,"2299392549",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"0","0",,,,,"1",,
"50177971","OHKA HOSPITALITY INC","Brooklyn","22","NORTH    6 STREET","11249","6469152399",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.72006967281","-73.96281338185","301","33","055500","3397446","3023327502","BK73","POINT (-73.962813381852 40.720069672805)"
"50179007","STOUT MARKETS INC","Manhattan","1328","BROADWAY","10001","7187919245",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.7503085854","-73.98737865187","105","04","007600","1015867","1008360001","MN17","POINT (-73.987378651873 40.750308585404)"
"50159126","STRAWBERRO LLC","Manhattan","42","WEST   42 STREET","10036","2015460996",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.75406823942","-73.98232117075","105","04","008400","1085593","1012570002","MN17","POINT (-73.982321170752 40.754068239421)"
"50177597","DRAM CENTRAL","Manhattan","14","EAST   44 STREET","10017","9176850231",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.75446022051","-73.97922057545","105","04","009400","1035361","1012780062","MN17","POINT (-73.979220575447 40.754460220511)"
"50182726","GOLDEN BULL HANDMADE NOODLES","Manhattan","47","BROADWAY","10006","9378299246",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.70643623123","-74.0127897431","101","01","001300","1000805","1000200012","MN25","POINT (-74.0127897431 40.706436231226)"
"50179927","DIRTY TACO & TEQUILA","Queens","39-17","BELL BOULEVARD","11361","9294568226",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.76503846611","-73.77173257743","411","19","112300","4137619","4062410009","QN46","POINT (-73.771732577426 40.765038466106)"
"50156912","TASTY HOME","Queens","133-49","ROOSEVELT AVENUE","11354","7185877727","Chinese","03/31/2025","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","55","C","03/31/2025","04/20/2026","Pre-permit (Operational) / Re-inspection","40.75872883223","-73.83256984257","407","20","087100","4311708","4049730045","QN22","POINT (-73.83256984257 40.758728832227)"
"50011758","LOS PRIMOS","Brooklyn","704","GRAND STREET","11211","7184868449","Caribbean","03/28/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","40","C","03/28/2024","04/20/2026","Cycle Inspection / Re-inspection","40.71155903323","-73.94461317848","301","34","049500","3069590","3027880017","BK90","POINT (-73.944613178476 40.711559033234)"
"50176355","THE GEM SALOON","Manhattan","375","3 AVENUE","10016","6466127757",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.74143118508","-73.98123470633","106","02","006600","1019868","1009080001","MN20","POINT (-73.981234706326 40.741431185077)"
"50173766","FLUSHING MEADOWS GULF CENTER","Queens",,"FLUSHING MEADOWS CORONA PARK","11368","7182718182",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,,,,,,,,,
"50138596","MIKADO","Brooklyn","177","ATLANTIC AVENUE","11201","2123811388","Japanese","03/13/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","26",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.69008067968","-73.99377618139","302","33","000900","3002773","3002760014","BK09","POINT (-73.993776181391 40.690080679678)"
"50171713","NISHAAN","Manhattan","160","1 AVENUE","10009","6303402981",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.72859990422","-73.98453605723","103","02","003400","1005897","1004370007","MN22","POINT (-73.984536057234 40.728599904219)"
"50180968","TOMAS SANDWICH SHOP NYC CORP.","Manhattan","930","COLUMBUS AVENUE","10025","9176513179",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.7989568659","-73.96307615001","107","07","018900","1055940","1018600034","MN12","POINT (-73.963076150013 40.798956865896)"
"50067635","CAFFEINE UNDERGROUND","0","447","CENTRAL AVE","07307","7184844806","Coffee/Tea","05/15/2023","Violations were cited in the following area(s).","28-06","Contract with a pest management professional not in place. Record of extermination activities not kept on premises.","Not Critical","20",,,"04/20/2026","Cycle Inspection / Initial Inspection",,,,,,,,,
"50183387","NY COMEDY CLUB LLC","Brooklyn","64","NORTH    9 STREET","11249","3473545404",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.72098268044","-73.95984742396","301","33","055700","3392437","3023090015","BK73","POINT (-73.959847423955 40.720982680442)"
"50141079","CIBO EXPRESS GOURMET MARKET - ROTUNDA","Queens",,"LA GUARDIA AIRPORT","11369","2159970667",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,,,,,,,,,
"50137981","CENTRAL PARK BOATHOUSE CAFE","Manhattan","000","E 72ND ST",,"2125172233","Continental","09/12/2025","Violations were cited in the following area(s).","04K","Evidence of rats or live rats in establishment's food or non-food areas.","Critical","32",,,"04/20/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50118825","PACIFIC BK NYC","Brooklyn","1065","PACIFIC STREET","11238","3476327578",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.67892386566","-73.95796202765","308","35","030500","3255799","3011260086","BK61","POINT (-73.957962027654 40.678923865659)"
"50168865","BAR SOCIETY","Brooklyn","3015","STILLWELL AVENUE","11224","3472439527",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.57515800186","-73.98111961412","313","47","035200","3245141","3086940419","BK21","POINT (-73.981119614124 40.575158001859)"
"50165148","LITTLE PIZZA","Queens","33-15","JUNCTION BOULEVARD","11372","7188999899","Pizza","07/10/2025","Violations were cited in the following area(s).","10H","Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.","Not Critical","47",,,"04/20/2026","Pre-permit (Operational) / Initial Inspection","40.75636576057","-73.87341039167","403","21","037500","4042376","4017100071","QN26","POINT (-73.873410391668 40.756365760569)"
"50104628","UPPER DEM XPRESS","Brooklyn","915","UTICA AVENUE","11203","3472403811","Caribbean","10/30/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","33",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.65074893224","-73.93026672562","317","45","086200","3102886","3046980052","BK96","POINT (-73.930266725623 40.650748932238)"
"50105044","CHIPOTLE MEXICAN GRILL #3591","Queens","22-06","31 STREET","11105","6143187413","Tex-Mex","05/24/2024","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","2","A","05/24/2024","04/20/2026","Cycle Inspection / Initial Inspection","40.7759793448","-73.91088701891","401","22","011500","4437015","4008440040","QN72","POINT (-73.910887018905 40.775979344795)"
"50140767","INTRIGUE BAR AND RESTAURANT","Queens","222-18","MERRICK BOULEVARD","11413","7183166612","Caribbean","11/07/2025","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","29",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.67813510018","-73.74644446821","413","31","035800","4281407","4131020016","QN66","POINT (-73.746444468206 40.678135100184)"
"50148836","CHI MAC ZIP","Queens","156-28","NORTHERN BOULEVARD","11354","7187990049","Korean","03/28/2026","Violations were cited in the following area(s).","08C","Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.","Not Critical","21",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.76396168011","-73.80882486943","407","20","117100","4444999","4052750001","QN51","POINT (-73.808824869434 40.763961680113)"
"50110743","AJI FUSION SUSHI","Brooklyn","201","5 AVENUE","11217","7188772466","Asian/Asian Fusion","07/17/2024","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","Critical","73",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.67659408084","-73.98031927647","306","39","013100","3019762","3009530003","BK37","POINT (-73.980319276468 40.676594080842)"
"50144023","YUMMY MANDARIN RESTAURANT","Queens","18-35","COLLEGE POINT BOULEVARD","11356","9297138166","Chinese","02/05/2024","Violations were cited in the following area(s).","04J","Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.","Critical","19",,,"04/20/2026","Pre-permit (Non-operational) / Compliance Inspection","40.78295074519","-73.84585847594","407","19","092500","4098828","4041280007","QN23","POINT (-73.845858475939 40.782950745191)"
"50122813","KUMO SUSHI","Queens","33-23","FRANCIS LEWIS BOULEVARD","11358","6266957109","Japanese","03/04/2025","Violations were cited in the following area(s).","08C","Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.","Not Critical","27",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.76678899669","-73.79009474825","411","19","109900","4135012","4060740045","QN46","POINT (-73.790094748249 40.766788996689)"
"50008709","STATUE OF LIBERTY DELI","Staten Island","5","FERRY TERMINAL DRIVE","10301","6465250973","American","03/01/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","27","B","03/01/2024","04/20/2026","Cycle Inspection / Re-inspection","40.64368198683","-74.07275272002","501","49","000300","5141706","5000020001","SI22","POINT (-74.072752720019 40.643681986827)"
"50134015","TOZTON","Queens","42-13","BROADWAY","11103","9177341066","Latin American","09/11/2025","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","60",,,"04/20/2026","Cycle Inspection / Re-inspection","40.75813491806","-73.91720977195","401","22","015500","4011765","4006920003","QN70","POINT (-73.917209771947 40.758134918057)"
"50145918","SWEETS BAKERY & CAFE","Queens","144-06","NORTHERN BOULEVARD","11354","7188868618","Chinese","09/12/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","27",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.76468715337","-73.82304972304","407","20","116300","4113419","4050140009","QN51","POINT (-73.823049723042 40.764687153374)"
"41418337","NICK'S BISTRO","Queens","104-20","METROPOLITAN AVENUE","11375","7185446425","Greek","03/28/2022","Violations were cited in the following area(s).","09B","Thawing procedures improper.","Not Critical","17",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.71005316462","-73.84840832474","406","29","064500","4095446","4039020037","QN17","POINT (-73.848408324738 40.710053164615)"
"50104433","BAR DALIA","Queens","33-17","31 AVENUE","11106","7186408060","Latin American","10/27/2023","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","11","A","10/27/2023","04/20/2026","Cycle Inspection / Initial Inspection","40.76347660279","-73.92166495635","401","22","006300","4436882","4006250001","QN70","POINT (-73.92166495635 40.763476602787)"
"41374934","SKINFLINTS RESTAURANT","Brooklyn","7902","5 AVENUE","11209","7187451116","American","12/13/2022","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","30",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.62638850472","-74.02391316941","310","43","013600","3150909","3059800042","BK31","POINT (-74.023913169413 40.626388504717)"
"50158789","THEORY LOUNGE","Manhattan","331","WEST   38 STREET","10018","9172702318","American","04/02/2025","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","10","A","04/02/2025","04/20/2026","Pre-permit (Operational) / Initial Inspection","40.75514531248","-73.9926619757","104","03","011500","1013641","1007620017","MN15","POINT (-73.992661975696 40.755145312483)"
"41240596","PANERA BREAD","Staten Island","280","MARSH AVENUE","10314","7184942451","Sandwiches","12/09/2025","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","13","A","12/09/2025","04/20/2026","Cycle Inspection / Initial Inspection","40.57714172198","-74.16406456097","502","51","027702","5039659","5024000300","SI24","POINT (-74.164064560974 40.577141721981)"
"50126405","MAMA'S FRIED CHICKEN","Manhattan","21","MALCOLM X BOULEVARD","10026","3478921929","Chicken","03/11/2026","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","24","Z","03/11/2026","04/20/2026","Cycle Inspection / Re-inspection","40.79899664313","-73.95189747243","110","09","021600","1054959","1018210031","MN11","POINT (-73.951897472432 40.798996643127)"
"50148081","MUTEKI UDON","Brooklyn","234","FLATBUSH AVENUE","11217","9176883407","Japanese","02/11/2026","Violations were cited in the following area(s).","20-04","“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.","Not Critical",,,,"04/20/2026","Administrative Miscellaneous / Initial Inspection","40.68053452221","-73.97491000557","306","39","012902","3018607","3009330039","BK37","POINT (-73.974910005566 40.680534522208)"
"50002028","LA NORTENA","Brooklyn","255A","GRAHAM AVENUE","11206","7183883045","Mexican","02/25/2022","Violations were cited in the following area(s).","09B","Thawing procedures improper.","Not Critical","19",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.71104263244","-73.9438236632","301","34","049500","3069597","3027880025","BK90","POINT (-73.943823663196 40.711042632444)"
"50131745","ANNIE'S KITCHEN","Queens","72-24","MAIN STREET","11367","3475001245","Jewish/Kosher","03/23/2023","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","11","A","03/23/2023","04/20/2026","Pre-permit (Operational) / Initial Inspection","40.72587363869","-73.82143583331","408","24","077902","4143395","4066210010","QN37","POINT (-73.821435833313 40.72587363869)"
"50119966","FRESH TORTILLAS","Queens","118-19","METROPOLITAN AVENUE","11415","7188507733","Tex-Mex","12/29/2022","Violations were cited in the following area(s).","10G","Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.","Not Critical","13","A","12/29/2022","04/20/2026","Pre-permit (Operational) / Initial Inspection","40.70687705894","-73.83423348655","409","29","077500","4079500","4033290001","QN60","POINT (-73.834233486545 40.706877058938)"
"50086207","ANYTIME KARAOKE","Manhattan","23","WEST   32 STREET","10001","6465904703","Korean","07/01/2025","Violations were cited in the following area(s).","20-04","“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.","Not Critical",,,,"04/20/2026","Administrative Miscellaneous / Initial Inspection","40.74750880917","-73.98633256251","105","04","007600","1015848","1008340028","MN17","POINT (-73.986332562507 40.747508809168)"
"50130139","HELLO SAIGON","Manhattan","180","BLEECKER STREET","10012","2122542088","Southeast Asian","10/17/2023","Violations were cited in the following area(s).","10E","Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment","Not Critical","23","B","10/17/2023","04/20/2026","Cycle Inspection / Re-inspection","40.72900167896","-74.00088757651","102","03","006500","1008320","1005260059","MN23","POINT (-74.000887576511 40.729001678961)"
"50037446","YOFRESH YOGURT CAFE","Queens","54-56","MYRTLE AVENUE","11385","7183812116","Frozen Desserts","02/17/2026","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","12","A","02/17/2026","04/20/2026","Cycle Inspection / Initial Inspection","40.69979414104","-73.90896602808","405","34","055300","4312143","4035440027","QN20","POINT (-73.908966028075 40.69979414104)"
"50101919","GALLEGO SEAFOOD","Bronx","104","EAST  183 STREET","10453","9176792875","Seafood","07/19/2024","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","22",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.85800953372","-73.90171372376","205","14","023704","2013866","2031710019","BX40","POINT (-73.901713723761 40.858009533716)"
"41429354","HAAGEN DAZS","Bronx","573","GRAND CONCOURSE","10451","6464637997","Frozen Desserts","04/14/2025","Violations were cited in the following area(s).","10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.","Not Critical","27","B","04/14/2025","04/20/2026","Cycle Inspection / Re-inspection","40.81923151152","-73.92700404097","204","08","006300","2001056","2023470023","BX63","POINT (-73.927004040974 40.819231511523)"
"50070445","PAPA JOHN'S PIZZA","Bronx","2733","WHITE PLAINS ROAD","10467","7188827272","Pizza","01/09/2024","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","34",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.86585788671","-73.86735490873","211","12","033600","2053537","2045080023","BX07","POINT (-73.867354908728 40.865857886714)"
"50119298","WHITE OLIVE","Manhattan","33","WEST   55 STREET","10019","9173960214","Mediterranean","12/19/2022","Violations were cited in the following area(s).","06A","Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry is worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed.","Critical","22",,,"04/20/2026","Pre-permit (Operational) / Initial Inspection","40.76218337144","-73.97613174424","105","04","010400","1034822","1012710019","MN17","POINT (-73.976131744242 40.762183371435)"
"50001063","PENNYLANE COFFEE","Manhattan","305","EAST   45 STREET","10017","9177975133","Coffee/Tea","09/19/2024","Violations were cited in the following area(s).","10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.","Not Critical","18",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.75157628134","-73.97038239551","106","04","009000","1038770","1013380005","MN19","POINT (-73.970382395507 40.751576281339)"
"50103991","HANK'S PIZZA / LAZZARO","Manhattan","110","TRINITY PLACE","10006","2127964499","Pizza","09/19/2025","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","13","A","09/19/2025","04/20/2026","Cycle Inspection / Re-inspection","40.70949400987","-74.01181284193","101","01","001300","1001039","1000520015","MN25","POINT (-74.011812841928 40.709494009866)"
"50112620","PERIZIA KOSHER PIZZA","Brooklyn","1424","AVENUE M","11230","7186454700","Jewish/Kosher","12/04/2025","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","39",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.6179795488","-73.96017977369","314","44","076800","3180878","3067430008","BK43","POINT (-73.960179773692 40.617979548804)"
"41661367","THE CHIPPED CUP","Manhattan","3610","BROADWAY","10031","2123688881","Coffee/Tea","02/26/2024","Violations were cited in the following area(s).","06B","Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.","Critical","7","A","02/26/2024","04/20/2026","Cycle Inspection / Initial Inspection","40.82867422471","-73.94879365271","109","07","023300","1062061","1020800062","MN04","POINT (-73.948793652708 40.828674224705)"
"50178819","YOGURT CLUB","Manhattan","1240","LEXINGTON AVENUE","10028","9178904942","Other","12/10/2025","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","30",,,"04/20/2026","Pre-permit (Operational) / Initial Inspection","40.77793259879","-73.95673302726","108","04","014000","1047660","1015120056","MN40","POINT (-73.956733027255 40.777932598787)"
"50073981","LITTLE PEPPER SICHUAN RESTAURANT","Queens","18-24","COLLEGE POINT BOULEVARD","11356","7189397788","Chinese","11/24/2025","Violations were cited in the following area(s).","02H","After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.","Critical","11","A","11/24/2025","04/20/2026","Cycle Inspection / Initial Inspection","40.78296175327","-73.84588011621","407","19","092500","4098312","4040830032","QN23","POINT (-73.84588011621 40.782961753273)"
"50079528","THREE BOWLS RAMEN","Queens","63-28","ROOSEVELT AVENUE","11377","7184069907","Japanese","02/25/2026","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","33",,,"04/20/2026","Cycle Inspection / Initial Inspection","40.7458527604","-73.90073218001","402","26","026100","4030062","4012950020","QN63","POINT (-73.900732180007 40.745852760403)"
"50101059","TORIEN","Manhattan","292","ELIZABETH STREET","10012","6466699946","Japanese","02/15/2024","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","20","B","02/15/2024","04/20/2026","Cycle Inspection / Re-inspection","40.72479924942","-73.99329308827","102","01","005502","1008192","1005210065","MN23","POINT (-73.993293088269 40.724799249418)"
"41374594","DUNKIN' / JIMMY JOHN'S","Manhattan","302","5 AVENUE","10001","2122680686","Coffee/Tea","04/05/2023","Violations were cited in the following area(s).","10H","Single service article not provided.  Single service article reused or not protected from contamination when transported, stored, dispensed.  Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.","Not Critical","13","A","04/05/2023","04/20/2026","Cycle Inspection / Initial Inspection","40.74667434393","-73.98585634696","105","04","007600","1015816","1008330038","MN17","POINT (-73.985856346962 40.746674343927)"
